ID,name,KeyCode,TimeClick,TimeNext
10828,Kinga,16,32.0,32
10829,Kinga,75,80.0,128
10830,Kinga,73,48.0,112
10831,Kinga,78,48.0,144
10832,Kinga,71,64.0,32
10833,Kinga,65,144,1120
10834,Kinga,9,80.0,976
10835,Kinga,16,50.0,50
10836,Kinga,70,112,48
10837,Kinga,65,112,96
10838,Kinga,82,112,96
10839,Kinga,32,64.0,240
10840,Kinga,70,80.0,16
10841,Kinga,65,128,96
10842,Kinga,82,112,48
10843,Kinga,32,80.0,96
10844,Kinga,87,96.0,288
10845,Kinga,65,144,736
10846,Kinga,89,112,112
10847,Kinga,32,80.0,144
10848,Kinga,66,48.0,1
10849,Kinga,69,79.0,192
10850,Kinga,72,96.0,32
10851,Kinga,73,80.0,96
10852,Kinga,78,64.0,928
10853,Kinga,68,80.0,400
10854,Kinga,188,112,98
10855,Kinga,32,110,1
10856,Kinga,84,63.0,80
10857,Kinga,72,80.0,49
10858,Kinga,69,95.0,48
10859,Kinga,32,96.0,128
10860,Kinga,87,144,32
10861,Kinga,79,80.0,64
10862,Kinga,82,80.0,368
10863,Kinga,68,96.0,64
10864,Kinga,32,112,128
10865,Kinga,77,112,16
10866,Kinga,79,176,64
10867,Kinga,85,80.0,128
10868,Kinga,78,80.0,0
10869,Kinga,84,64.0,224
10870,Kinga,73,81.0,81
10871,Kinga,65,81.0,79
10872,Kinga,78,80.0,80
10873,Kinga,83,80.0,1
10874,Kinga,32,95.0,352
10875,Kinga,70,80.0,64
10876,Kinga,65,112,96
10877,Kinga,82,80.0,48
10878,Kinga,32,96.0,752
10879,Kinga,70,96.0,80
10880,Kinga,82,64.0,288
10881,Kinga,79,112,96
10882,Kinga,77,80.0,96
10883,Kinga,32,97.0,79
10884,Kinga,84,80.0,64
10885,Kinga,72,96.0,144
10886,Kinga,69,16.0,16
10887,Kinga,32,80.0,176
10888,Kinga,67,32.0,32
10889,Kinga,79,96.0,48
10890,Kinga,85,64.0,112
10891,Kinga,78,80.0,48
10892,Kinga,84,80.0,160
10893,Kinga,82,112,16
10894,Kinga,73,96.0,32
10895,Kinga,69,64.0,128
10896,Kinga,83,112,80
10897,Kinga,32,80.0,544
10898,Kinga,16,48.0,48
10899,Kinga,86,96.0,64
10900,Kinga,79,96.0,80
10901,Kinga,75,64.0,33
10902,Kinga,65,95.0,48
10903,Kinga,76,64.0,112
10904,Kinga,73,80.0,32
10905,Kinga,65,112,32
10906,Kinga,32,64.0,112
10907,Kinga,65,112,1
10908,Kinga,78,79.0,144
10909,Kinga,68,128,33
10910,Kinga,32,79.0,208
10911,Kinga,16,80.0,80
10912,Kinga,83,112,160
10913,Kinga,79,96.0,224
10914,Kinga,78,80.0,160
10915,Kinga,83,96.0,48
10916,Kinga,79,96.0,144
10917,Kinga,78,64.0,48
10918,Kinga,65,96.0,1
10919,Kinga,78,63.0,448
10920,Kinga,73,96.0,240
10921,Kinga,32,80.0,128
10922,Kinga,65,96.0,160
10923,Kinga,32,80.0,753
10924,Kinga,84,63.0,64
10925,Kinga,72,80.0,32
10926,Kinga,69,128,160
10927,Kinga,82,96.0,80
10928,Kinga,69,112,32
10929,Kinga,32,96.0,160
10930,Kinga,76,80.0,128
10931,Kinga,73,64.0,96
10932,Kinga,86,96.0,144
10933,Kinga,69,48.0,48
10934,Kinga,32,96.0,128
10935,Kinga,73,80.0,272
10936,Kinga,32,96.0,512
10937,Kinga,8,96.0,256
10938,Kinga,78,64.0,96
10939,Kinga,32,112,257
10940,Kinga,66,63.0,128
10941,Kinga,76,80.0,112
10942,Kinga,73,81.0,95
10943,Kinga,78,96.0,64
10944,Kinga,68,128,1
10945,Kinga,32,95.0,304
10946,Kinga,84,80.0,1
10947,Kinga,69,63.0,208
10948,Kinga,88,66.0,66
10949,Kinga,84,144,128
10950,Kinga,32,64.0,1217
10951,Kinga,83,111,144
10952,Kinga,32,96.0,128
10953,Kinga,83,112,336
10954,Kinga,69,96.0,80
10955,Kinga,80,96.0,64
10956,Kinga,65,128,160
10957,Kinga,82,113,95
10958,Kinga,69,160,352
10959,Kinga,84,96.0,176
10960,Kinga,65,48.0,288
10961,Kinga,69,80.0,80
10962,Kinga,68,96.0,113
10963,Kinga,32,95.0,112
10964,Kinga,84,96.0,32
10965,Kinga,72,128,48
10966,Kinga,69,96.0,96
10967,Kinga,89,160,80
10968,Kinga,32,80.0,736
10969,Kinga,76,64.0,112
10970,Kinga,73,64.0,144
10971,Kinga,66,64.0,448
10972,Kinga,86,96.0,80
10973,Kinga,69,112,96
10974,Kinga,32,112,144
10975,Kinga,73,96.0,96
10976,Kinga,78,64.0,112
10977,Kinga,32,96.0,560
10978,Kinga,16,16.0,16
10979,Kinga,66,96.0,48
10980,Kinga,79,64.0,80
10981,Kinga,79,114,0
10982,Kinga,75,94.0,128
10983,Kinga,83,112,112
10984,Kinga,80,80.0,400
10985,Kinga,77,112,48
10986,Kinga,65,112,208
10987,Kinga,82,112,96
10988,Kinga,75,80.0,96
10989,Kinga,83,96.0,433
10990,Kinga,71,79.0,80
10991,Kinga,82,96.0,1
10992,Kinga,79,111,128
10993,Kinga,86,112,64
10994,Kinga,69,112,80
10995,Kinga,32,128,288
10996,Kinga,82,128,32
10997,Kinga,73,96.0,288
10998,Kinga,71,80.0,80
10999,Kinga,72,96.0,32
11000,Kinga,84,80.0,128
11001,Kinga,32,96.0,128
11002,Kinga,65,145,479
11003,Kinga,84,80.0,48
11004,Kinga,32,96.0,192
11005,Kinga,84,80.0,48
11006,Kinga,72,96.0,48
11007,Kinga,69,96.0,48
11008,Kinga,32,96.0,160
11009,Kinga,67,16.0,16
11010,Kinga,79,112,224
11011,Kinga,65,160,80
11012,Kinga,83,128,240
11013,Kinga,84,96.0,128
11014,Kinga,32,80.0,144
11015,Kinga,79,96.0,21
11016,Kinga,70,91.0,128
11017,Kinga,32,80.0,704
11018,Kinga,16,64.0,64
11019,Kinga,83,97.0,79
11020,Kinga,69,96.0,16
11021,Kinga,77,80.0,96
11022,Kinga,65,112,65
11023,Kinga,78,64.0,223
11024,Kinga,84,80.0,80
11025,Kinga,73,128,32
11026,Kinga,67,96.0,112
11027,Kinga,83,128,96
11028,Kinga,32,96.0,496
11029,Kinga,65,128,64
11030,Kinga,32,80.0,224
11031,Kinga,76,17.0,17
11032,Kinga,65,80.0,144
11033,Kinga,82,112,160
11034,Kinga,71,81.0,111
11035,Kinga,69,96.0,18
11036,Kinga,32,62.0,176
11037,Kinga,76,48.0,48
11038,Kinga,65,144,1
11039,Kinga,78,95.0,112
11040,Kinga,70,112,64
11041,Kinga,85,112,32
11042,Kinga,65,128,144
11043,Kinga,70,96.0,352
11044,Kinga,71,160,1
11045,Kinga,69,143,160
11046,Kinga,32,80.0,128
11047,Kinga,79,112,1
11048,Kinga,67,111,64
11049,Kinga,69,80.0,208
11050,Kinga,65,48.0,48
11051,Kinga,78,81.0,271
11052,Kinga,190,96.0,96
11053,Kinga,32,192,208
11054,Kinga,16,80.0,80
11055,Kinga,65,112,256
11056,Kinga,32,112,64
11057,Kinga,83,81.0,159
11058,Kinga,65,112,48
11059,Kinga,77,48.0,192
11060,Kinga,76,64.0,112
11061,Kinga,76,64.0,112
11062,Kinga,32,80.0,416
11063,Kinga,82,80.0,32
11064,Kinga,73,112,33
11065,Kinga,86,79.0,64
11066,Kinga,69,128,80
11067,Kinga,82,80.0,1
11068,Kinga,32,63.0,176
11069,Kinga,78,32.0,32
11070,Kinga,65,113,63
11071,Kinga,77,80.0,64
11072,Kinga,69,48.0,64
11073,Kinga,68,112,64
11074,Kinga,32,96.0,224
11075,Kinga,16,48.0,48
11076,Kinga,68,112,64
11077,Kinga,85,64.0,32
11078,Kinga,68,128,48
11079,Kinga,69,96.0,112
11080,Kinga,78,32.0,144
11081,Kinga,32,80.0,496
11082,Kinga,70,144,48
11083,Kinga,76,48.0,96
11084,Kinga,79,64.0,64
11085,Kinga,87,112,113
11086,Kinga,83,95.0,64
11087,Kinga,32,80.0,96
11088,Kinga,66,160,1
11089,Kinga,89,95.0,112
11090,Kinga,32,112,816
11091,Kinga,84,80.0,80
11092,Kinga,72,64.0,48
11093,Kinga,69,112,32
11094,Kinga,73,112,160
11095,Kinga,82,112,96
11096,Kinga,32,80.0,608
11097,Kinga,80,112,80
11098,Kinga,76,96.0,32
11099,Kinga,65,112,192
11100,Kinga,83,113,303
11101,Kinga,8,96.0,32
11102,Kinga,67,112,48
11103,Kinga,69,96.0,32
11104,Kinga,32,96.0,176
11105,Kinga,65,176,1
11106,Kinga,78,95.0,112
11107,Kinga,68,112,112
11108,Kinga,32,96.0,177
11109,Kinga,83,127,64
11110,Kinga,85,96.0,225
11111,Kinga,80,63.0,96
11112,Kinga,80,48.0,112
11113,Kinga,76,80.0,128
11114,Kinga,73,33.0,33
11115,Kinga,69,96.0,96
11116,Kinga,83,128,1
11117,Kinga,32,79.0,128
11118,Kinga,73,96.0,288
11119,Kinga,84,80.0,64
11120,Kinga,32,64.0,208
11121,Kinga,87,96.0,20
11122,Kinga,73,108,160
11123,Kinga,84,128,48
11124,Kinga,72,80.0,144
11125,Kinga,32,96.0,352
11126,Kinga,84,80.0,48
11127,Kinga,72,80.0,80
11128,Kinga,69,80.0,27
11129,Kinga,32,69.0,128
11130,Kinga,78,80.0,1
11131,Kinga,69,79.0,144
11132,Kinga,67,112,274
11133,Kinga,69,94.0,208
11134,Kinga,83,48.0,96
11135,Kinga,83,96.0,64
11136,Kinga,65,112,273
11137,Kinga,82,127,48
11138,Kinga,76,112,96
11139,Kinga,89,112,96
11140,Kinga,32,96.0,128
11141,Kinga,82,160,50
11142,Kinga,69,142,448
11143,Kinga,70,80.0,432
11144,Kinga,71,144,1
11145,Kinga,69,127,96
11146,Kinga,76,80.0,112
11147,Kinga,73,80.0,1
11148,Kinga,65,95.0,96
11149,Kinga,76,64.0,112
