ID,name,KeyCode,TimeClick,TimeNext
13531,Kinga,16,34.0,34
13532,Kinga,75,80.0,96
13533,Kinga,73,64.0,128
13534,Kinga,78,48.0,112
13535,Kinga,71,64.0,0
13536,Kinga,65,112,704
13537,Kinga,9,64.0,1040
13538,Kinga,16,34.0,34
13539,Kinga,80,80.0,64
13540,Kinga,82,96.0,113
13541,Kinga,65,127,48
13542,Kinga,87,96.0,32
13543,Kinga,65,160,16
13544,Kinga,32,80.0,64
13545,Kinga,65,112,64
13546,Kinga,85,96.0,80
13547,Kinga,84,64.0,114
13548,Kinga,79,62.0,112
13549,Kinga,82,80.0,128
13550,Kinga,83,160,16
13551,Kinga,75,48.0,97
13552,Kinga,73,63.0,1
13553,Kinga,69,95.0,48
13554,Kinga,32,64.0,80
13555,Kinga,68,96.0,96
13556,Kinga,73,97.0,97
13557,Kinga,90,98.0,158
13558,Kinga,69,96.0,64
13559,Kinga,76,64.0,128
13560,Kinga,65,112,16
13561,Kinga,32,64.0,32
13562,Kinga,83,96.0,32
13563,Kinga,73,96.0,1
13564,Kinga,69,79.0,16
13565,Kinga,32,64.0,80
13566,Kinga,78,80.0,1
13567,Kinga,65,112,0
13568,Kinga,32,47.0,192
13569,Kinga,80,32.0,32
13570,Kinga,82,80.0,112
13571,Kinga,65,128,1
13572,Kinga,87,111,16
13573,Kinga,79,64.0,112
13574,Kinga,32,64.0,96
13575,Kinga,77,80.0,16
13576,Kinga,65,80.0,256
13577,Kinga,65,80.0,336
13578,Kinga,84,96.0,80
13579,Kinga,75,96.0,17
13580,Kinga,79,79.0,1
13581,Kinga,87,95.0,1
13582,Kinga,69,95.0,32
13583,Kinga,32,80.0,96
13584,Kinga,73,96.0,80
13585,Kinga,32,96.0,176
13586,Kinga,80,16.0,16
13587,Kinga,82,80.0,112
13588,Kinga,65,129,0
13589,Kinga,87,111,192
13590,Kinga,65,16.0,16
13591,Kinga,32,64.0,160
13592,Kinga,79,32.0,32
13593,Kinga,83,96.0,64
13594,Kinga,79,64.0,112
13595,Kinga,66,64.0,112
13596,Kinga,73,80.0,48
