ID,name,KeyCode,TimeClick,TimeNext
8834,Patryk,16,175,0
8835,Patryk,80,62,128
8836,Patryk,65,111,191
8837,Patryk,84,144,224
8838,Patryk,75,63,128
8839,Patryk,82,112,112
8840,Patryk,89,48,144
8841,Patryk,9,94,177
8842,Patryk,79,64,96
8843,Patryk,16,176,431
8844,Patryk,78,48,223
8845,Patryk,69,49,96
8846,Patryk,77,81,144
8847,Patryk,32,96,128
8848,Patryk,79,64,609
8849,Patryk,82,65,175
8850,Patryk,78,65,144
8851,Patryk,73,80,321
8852,Patryk,78,64,415
8853,Patryk,71,80,129
8854,Patryk,32,96,191
8855,Patryk,72,63,369
8856,Patryk,69,63,128
8857,Patryk,78,80,191
8858,Patryk,32,128,256
8859,Patryk,16,176,417
8860,Patryk,71,30,177
8861,Patryk,82,175,175
8862,Patryk,69,96,127
8863,Patryk,71,63,225
8864,Patryk,79,63,752
8865,Patryk,82,80,111
8866,Patryk,32,95,145
8867,Patryk,16,270,353
8868,Patryk,83,81,207
8869,Patryk,65,81,175
8870,Patryk,77,65,96
8871,Patryk,83,81,224
8872,Patryk,65,63,401
8873,Patryk,32,112,239
8874,Patryk,87,63,449
8875,Patryk,79,79,96
8876,Patryk,75,64,191
8877,Patryk,69,80,144
8878,Patryk,32,111,225
8879,Patryk,70,80,863
8880,Patryk,79,64,144
8881,Patryk,82,63,113
8882,Patryk,77,64,159
8883,Patryk,32,112,128
8884,Patryk,84,96,753
8885,Patryk,72,96,640
8886,Patryk,8,95,465
8887,Patryk,82,64,223
8888,Patryk,79,64,144
8889,Patryk,85,65,223
8890,Patryk,78,79,225
8891,Patryk,66,62,625
8892,Patryk,76,80,142
8893,Patryk,69,81,224
8894,Patryk,68,64,240
8895,Patryk,32,65,224
8896,Patryk,68,79,225
8897,Patryk,82,128,207
8898,Patryk,69,97,80
8899,Patryk,65,95,257
8900,Patryk,77,80,383
8901,Patryk,83,97,128
8902,Patryk,32,80,209
8903,Patryk,71,48,384
8904,Patryk,69,79,736
8905,Patryk,32,95,160
8906,Patryk,70,80,383
8907,Patryk,79,64,145
8908,Patryk,85,49,207
8909,Patryk,78,80,160
8910,Patryk,68,96,112
8911,Patryk,32,79,273
8912,Patryk,72,64,1167
8913,Patryk,73,48,417
8914,Patryk,77,79,144
8915,Patryk,83,97,127
8916,Patryk,69,47,257
8917,Patryk,76,65,143
8918,Patryk,70,64,209
8919,Patryk,32,95,400
8920,Patryk,84,175,640
8921,Patryk,82,128,96
8922,Patryk,65,112,239
8923,Patryk,78,64,208
8924,Patryk,83,96,145
8925,Patryk,70,64,271
8926,Patryk,79,64,144
8927,Patryk,82,80,256
8928,Patryk,77,64,160
8929,Patryk,69,63,161
8930,Patryk,68,81,255
8931,Patryk,32,47,337
8932,Patryk,73,80,383
8933,Patryk,78,80,192
8934,Patryk,32,96,192
8935,Patryk,72,80,336
8936,Patryk,73,63,209
8937,Patryk,83,79,176
8938,Patryk,32,80,223
8939,Patryk,66,65,1488
8940,Patryk,69,63,97
8941,Patryk,68,79,192
8942,Patryk,32,96,224
8943,Patryk,73,79,384
8944,Patryk,78,64,207
8945,Patryk,84,48,129
8946,Patryk,79,79,176
8947,Patryk,32,111,512
8948,Patryk,65,80,495
8949,Patryk,32,81,144
8950,Patryk,72,96,384
8951,Patryk,79,64,192
8952,Patryk,82,64,208
8953,Patryk,82,80,481
8954,Patryk,73,63,336
8955,Patryk,66,64,240
8956,Patryk,76,64,239
8957,Patryk,69,65,560
8958,Patryk,32,95,145
8959,Patryk,86,95,272
8960,Patryk,69,143,223
8961,Patryk,82,63,112
8962,Patryk,77,97,160
8963,Patryk,73,81,176
8964,Patryk,78,96,176
8965,Patryk,32,96,240
8966,Patryk,16,159,802
8967,Patryk,72,48,126
8968,Patryk,69,59,276
8969,Patryk,32,96,139
8970,Patryk,76,63,210
8971,Patryk,65,63,112
8972,Patryk,89,95,255
8973,Patryk,32,112,240
8974,Patryk,79,63,641
8975,Patryk,78,65,255
8976,Patryk,32,96,193
8977,Patryk,72,49,415
8978,Patryk,73,62,98
8979,Patryk,83,64,190
8980,Patryk,32,96,288
8981,Patryk,65,79,865
8982,Patryk,82,64,239
8983,Patryk,79,47,273
8984,Patryk,85,63,256
8985,Patryk,82,63,592
8986,Patryk,48,65,447
8987,Patryk,76,63,241
8988,Patryk,73,65,191
8989,Patryk,69,65,192
8990,Patryk,32,144,592
8991,Patryk,66,66,448
8992,Patryk,65,79,145
8993,Patryk,67,64,287
