ID,name,KeyCode,TimeClick,TimeNext
1275,,80,80,136
1276,,76,80,192
1277,,73,96,168
1278,,69,118,98
1279,,83,127,71
1280,,32,88,303
1281,,73,104,192
1282,,84,118,106
1283,,32,104,94
1284,,87,80,144
1285,,73,96,144
1286,,84,80,160
1287,,72,104,96
1288,,32,80,136
1289,,84,97,264
1290,,72,104,120
1291,,69,128,80
1292,,32,88,96
1293,,67,112,184
1294,,69,70,1354
1295,,78,88,142
1296,,69,78,90
1297,,67,120,222
1298,,65,112,144
1299,,83,80,200
1300,,89,88,208
1301,,32,96,704
1302,,82,104,296
1303,,69,94,474
1304,,71,145,246
1305,,69,88,104
1306,,76,104,256
1307,,73,112,448
1308,,65,96,224
1309,,76,80,184
1310,,73,32,256
1311,,65,80,88
1312,,190,89,472
1313,,32,96,112
1314,,73,80,117
1315,,84,128,168
1316,,83,138,112
1317,,32,93,139
1318,,73,80,189
1319,,83,150,82
1320,,32,104,110
1321,,65,128,136
1322,,32,80,112
1323,,80,88,216
1324,,65,120,192
1325,,82,160,176
1326,,65,120,96
1327,,68,135,225
1328,,69,136,159
1329,,83,128,376
1330,,69,104,360
1331,,77,80,200
1332,,65,102,82
1333,,84,80,190
1334,,73,80,168
1335,,67,144,144
1336,,32,102,146
1337,,67,90,238
1338,,79,80,112
1339,,85,80,168
1340,,78,112,192
1341,,84,79,81
1342,,82,78,521
1343,,89,80,214
1344,,32,104,696
1345,,73,136,192
1346,,78,96,112
1347,,32,168,1379
1348,,87,88,448
1349,,72,136,112
1350,,73,95,80
1351,,67,88,160
1352,,72,112,103
1353,,32,120,488
1354,,82,96,248
1355,,79,88,111
1356,,65,120,161
1357,,83,96,352
1358,,84,135,216
1359,,69,112,104
1360,,68,137,367
1361,,32,103,138
1362,,80,88,191
1363,,65,127,112
1364,,82,103,80
1365,,84,121,199
1366,,83,130,96
1367,,32,85,132
1368,,79,104,141
1369,,70,135,105
1370,,32,119,87
1371,,83,80,231
1372,,69,63,193
1373,,78,96,95
1374,,84,128,112
1375,,69,70,130
1376,,78,87,160
1377,,67,121,143
1378,,69,87,185
1379,,83,151,191
1380,,32,79,112
1381,,70,87,184
1382,,76,56,111
1383,,89,87,369
1384,,32,88,192
1385,,73,72,431
1386,,78,120,152
1387,,84,87,121
1388,,79,88,104
1389,,32,96,103
1390,,89,79,441
1391,,79,111,120
1392,,85,128,71
1393,,82,135,105
1394,,32,104,103
1395,,77,103,169
1396,,79,87,216
1397,,85,63,216
1398,,84,96,280
1399,,72,94,97
1400,,190,95,311
1401,,32,88,200
1402,,69,111,183
1403,,86,128,271
1404,,69,105,105
1405,,78,89,159
1406,,32,94,90
1407,,84,95,303
1408,,72,112,127
1409,,69,119,121
1410,,32,128,88
1411,,65,85,130
1412,,76,56,109
1413,,76,72,136
1414,,189,79,377
1415,,80,136,231
1416,,79,103,97
1417,,87,152,63
1418,,69,104,80
1419,,82,88,192
1420,,70,89,216
1421,,85,86,90
1422,,76,63,231
1423,,76,79,144
1424,,32,87,552
1425,,80,80,112
1426,,79,87,224
1427,,73,79,216
1428,,78,96,175
1429,,84,104,161
1430,,73,71,105
1431,,78,105,166
1432,,71,142,106
1433,,32,95,119
1434,,72,112,191
1435,,65,120,136
1436,,83,175,97
1437,,32,95,120
1438,,78,127,168
1439,,79,111,88
1440,,32,110,113
1441,,67,88,142
1442,,79,63,89
1443,,78,104,143
1444,,84,72,72
1445,,82,96,184
1446,,79,72,80
1447,,76,96,185
1448,,32,101,98
1449,,65,94,167
1450,,66,48,110
1451,,79,88,168
1452,,85,104,248
1453,,84,111,265
1454,,32,87,177
1455,,84,80,255
1456,,72,128,103
1457,,69,127,130
1458,,32,95,71
1459,,66,87,208
1460,,76,54,89
1461,,73,64,167
1462,,78,96,159
1463,,68,103,193
1464,,32,80,287
1465,,84,120,192
1466,,69,120,80
1467,,88,143,273
1468,,84,128,111
1469,,83,135,865
1470,,32,112,96
1471,,73,96,215
1472,,84,145,200
1473,,32,77,148
1474,,73,96,380
1475,,83,126,98
1476,,32,104,86
1477,,65,80,200
1478,,78,104,120
1479,,32,96,480
1480,,65,64,224
1481,,76,88,144
