ID,name,KeyCode,TimeClick,TimeNext
9165,,16,18,18
9166,,75,64,112
9167,,73,48,112
9168,,78,64,112
9169,,71,48,80
9170,,65,96,240
9171,,9,80,624
9172,,16,32,32
9173,,73,64,160
9174,,84,64,80
9175,,32,48,128
9176,,73,64,48
9177,,83,96,1
9178,,32,79,160
9179,,78,48,128
9180,,79,64,209
9181,,84,95,48
9182,,32,48,272
9183,,84,80,48
9184,,72,80,48
9185,,69,96,64
9186,,32,64,128
9187,,67,112,288
9188,,82,80,64
9189,,73,96,144
9190,,84,80,112
9191,,73,80,192
9192,,67,96,80
9193,,32,144,112
9194,,87,64,64
9195,,72,64,96
9196,,79,112,272
9197,,32,128,273
9198,,67,95,320
9199,,8,48,768
9200,,67,64,32
9201,,79,64,80
9202,,85,48,128
9203,,78,64,80
9204,,84,48,161
9205,,83,127,64
9206,,32,112,592
9207,,78,128,128
9208,,79,112,80
9209,,84,48,80
9210,,32,32,224
9211,,72,80,82
9212,,69,94,16
9213,,32,80,128
9214,,77,96,33
9215,,65,95,1
9216,,78,63,144
9217,,32,80,912
9218,,87,64,320
9219,,72,80,64
9220,,79,80,112
9221,,32,80,224
9222,,80,32,32
9223,,79,96,112
9224,,73,96,80
9225,,78,64,128
9226,,84,64,224
9227,,83,96,48
9228,,32,48,624
9229,,79,64,144
9230,,85,80,208
9231,,84,16,16
9232,,32,97,159
9233,,72,80,80
9234,,79,112,16
9235,,87,96,80
9236,,32,128,672
9237,,84,64,80
9238,,72,96,48
9239,,69,80,32
9240,,32,80,64
9241,,83,80,112
9242,,84,80,64
9243,,82,81,32
9244,,79,79,96
9245,,78,80,368
9246,,71,64,129
9247,,32,127,128
9248,,77,112,16
9249,,65,96,1
9250,,78,63,96
9251,,32,112,224
9252,,83,64,192
9253,,84,64,48
9254,,85,64,128
9255,,77,80,96
9256,,66,64,144
9257,,76,96,16
9258,,69,80,128
9259,,83,96,1
9260,,32,63,112
9261,,79,96,80
9262,,82,80,16
9263,,32,80,144
9264,,72,64,256
9265,,8,80,176
9266,,87,48,48
9267,,72,49,63
9268,,69,80,128
9269,,82,112,32
9270,,69,96,32
9271,,32,80,304
9272,,84,64,48
9273,,72,96,48
9274,,69,80,16
9275,,32,112,80
9276,,68,112,0
9277,,79,64,112
9278,,69,96,80
9279,,82,81,287
9280,,32,112,208
9281,,79,64,320
9282,,68,80,96
9283,,32,96,352
9284,,8,64,80
9285,,8,64,64
9286,,70,64,1
9287,,32,95,208
9288,,70,32,240
9289,,8,80,128
9290,,68,80,128
9291,,69,32,80
9292,,69,80,81
9293,,68,111,304
9294,,83,80,96
9295,,32,80,432
9296,,67,80,64
9297,,79,64,144
9298,,85,48,144
9299,,76,64,144
9300,,68,48,32
9301,,32,48,192
9302,,72,64,48
9303,,65,82,78
9304,,86,80,64
9305,,69,96,32
9306,,32,80,96
9307,,68,112,32
9308,,79,64,128
9309,,78,65,33
9310,,69,78,48
9311,,32,79,81
9312,,84,64,64
9313,,72,80,48
9314,,69,96,32
9315,,77,48,96
9316,,32,80,113
9317,,66,79,48
9318,,69,64,160
9319,,84,80,96
9320,,84,96,64
9321,,69,144,1
9322,,82,95,17
9323,,32,94,337
9324,,16,49,49
9325,,84,71,138
9326,,72,63,32
9327,,69,96,144
9328,,32,79,33
9329,,67,112,160
9330,,82,112,224
9331,,69,96,160
9332,,68,96,96
9333,,73,80,48
9334,,84,64,176
9335,,32,112,176
9336,,66,64,97
9337,,69,63,32
9338,,76,64,128
9339,,79,48,128
9340,,78,65,255
9341,,71,112,128
9342,,83,112,19
9343,,32,77,288
9344,,84,64,32
9345,,79,80,80
9346,,32,96,16
9347,,84,80,80
9348,,72,64,64
9349,,69,80,32
9350,,32,64,128
9351,,77,113,63
9352,,65,96,19
9353,,78,77,112
9354,,32,95,177
9355,,87,80,384
9356,,72,64,416
9357,,32,144,144
9358,,73,64,224
9359,,83,96,32
9360,,32,79,97
9361,,65,96,96
9362,,67,64,128
9363,,84,64,48
9364,,85,64,112
9365,,65,96,21
9366,,76,59,96
9367,,76,80,128
9368,,89,80,112
9369,,32,95,401
9370,,73,64,96
9371,,78,48,96
9372,,32,79,32
9373,,84,48,49
9374,,72,64,79
9375,,69,97,32
9376,,32,63,97
9377,,65,144,144
9378,,82,128,16
9379,,69,96,80
9380,,78,96,48
9381,,65,128,1
9382,,32,78,96
9383,,87,81,96
9384,,72,64,256
9385,,83,64,80
9386,,79,64,177
9387,,69,79,48
9388,,32,79,289
9389,,70,64,96
9390,,65,112,80
9391,,67,80,48
9392,,69,112,48
9393,,32,79,113
9394,,73,112,47
9395,,83,81,1
9396,,32,78,129
9397,,77,96,1
9398,,65,111,208
9399,,82,48,112
9400,,82,96,32
9401,,69,59900,191
