ID,name,KeyCode,TimeClick,TimeNext
3005,Krystian,65,129,24
3006,Krystian,32,121,184
3007,Krystian,87,85,123
3008,Krystian,79,87,366
3009,Krystian,78,80,567
3010,Krystian,68,135,98
3011,Krystian,69,150,136
3012,Krystian,82,111,151
3013,Krystian,70,80,255
3014,Krystian,85,80,112
3015,Krystian,76,80,1192
3016,Krystian,32,110,138
3017,Krystian,83,112,142
3018,Krystian,69,112,280
3019,Krystian,82,112,217
3020,Krystian,69,120,71
3021,Krystian,78,111,289
3022,Krystian,73,104,63
3023,Krystian,84,96,136
3024,Krystian,89,97,120
3025,Krystian,32,112,672
3026,Krystian,72,96,200
3027,Krystian,65,128,64
3028,Krystian,83,134,90
3029,Krystian,32,96,110
3030,Krystian,84,104,152
3031,Krystian,65,96,80
3032,Krystian,75,120,80
3033,Krystian,69,79,161
3034,Krystian,78,96,111
3035,Krystian,32,90,120
3036,Krystian,80,72,160
3037,Krystian,79,72,176
3038,Krystian,83,72,104
3039,Krystian,83,72,168
3040,Krystian,69,96,200
3041,Krystian,83,56,224
3042,Krystian,83,96,136
3043,Krystian,73,56,112
3044,Krystian,79,80,144
3045,Krystian,78,88,152
3046,Krystian,32,80,128
3047,Krystian,79,89,96
3048,Krystian,70,144,128
3049,Krystian,32,96,104
3050,Krystian,77,80,168
3051,Krystian,89,79,321
3052,Krystian,32,72,111
3053,Krystian,69,72,152
3054,Krystian,78,80,96
3055,Krystian,84,88,96
3056,Krystian,73,88,112
3057,Krystian,82,152,104
3058,Krystian,69,151,105
3059,Krystian,32,94,153
3060,Krystian,83,86,296
3061,Krystian,79,72,150
3062,Krystian,85,80,168
3063,Krystian,76,80,264
3064,Krystian,188,104,888
3065,Krystian,32,82,144
3066,Krystian,76,72,336
3067,Krystian,73,80,176
3068,Krystian,75,111,169
3069,Krystian,69,150,113
3070,Krystian,32,96,110
3071,Krystian,84,104,360
3072,Krystian,72,80,168
3073,Krystian,69,80,136
3074,Krystian,83,111,209
3075,Krystian,69,136,175
3076,Krystian,32,94,138
3077,Krystian,83,96,278
3078,Krystian,87,63,241
3079,Krystian,69,65,175
3080,Krystian,69,88,152
3081,Krystian,84,112,168
3082,Krystian,32,95,114
3083,Krystian,77,104,166
3084,Krystian,79,96,72
3085,Krystian,82,88,144
3086,Krystian,78,104,104
3087,Krystian,73,88,72
3088,Krystian,78,104,184
3089,Krystian,71,128,72
3090,Krystian,32,102,130
3091,Krystian,79,88,150
3092,Krystian,70,144,104
3093,Krystian,32,96,120
3094,Krystian,83,72,160
3095,Krystian,80,144,88
3096,Krystian,73,120,112
3097,Krystian,82,97,1520
3098,Krystian,78,78,98
3099,Krystian,71,86,1400
3100,Krystian,32,120,174
3101,Krystian,87,88,888
3102,Krystian,72,134,90
3103,Krystian,73,88,86
3104,Krystian,67,80,152
3105,Krystian,72,102,82
3106,Krystian,32,112,254
3107,Krystian,73,80,256
3108,Krystian,32,88,104
3109,Krystian,69,74,208
3110,Krystian,78,72,80
3111,Krystian,74,152,264
3112,Krystian,79,128,80
3113,Krystian,89,96,664
3114,Krystian,32,88,256
3115,Krystian,87,64,384
3116,Krystian,73,97,88
3117,Krystian,84,80,136
3118,Krystian,72,88,112
3119,Krystian,32,104,720
3120,Krystian,77,88,1504
