ID,name,KeyCode,TimeClick,TimeNext
1275,Krystian,80,80,136
1276,Krystian,76,80,192
1277,Krystian,73,96,168
1278,Krystian,69,118,98
1279,Krystian,83,127,71
1280,Krystian,32,88,303
1281,Krystian,73,104,192
1282,Krystian,84,118,106
1283,Krystian,32,104,94
1284,Krystian,87,80,144
1285,Krystian,73,96,144
1286,Krystian,84,80,160
1287,Krystian,72,104,96
1288,Krystian,32,80,136
1289,Krystian,84,97,264
1290,Krystian,72,104,120
1291,Krystian,69,128,80
1292,Krystian,32,88,96
1293,Krystian,67,112,184
1294,Krystian,69,70,1354
1295,Krystian,78,88,142
1296,Krystian,69,78,90
1297,Krystian,67,120,222
1298,Krystian,65,112,144
1299,Krystian,83,80,200
1300,Krystian,89,88,208
1301,Krystian,32,96,704
1302,Krystian,82,104,296
1303,Krystian,69,94,474
1304,Krystian,71,145,246
1305,Krystian,69,88,104
1306,Krystian,76,104,256
1307,Krystian,73,112,448
1308,Krystian,65,96,224
1309,Krystian,76,80,184
1310,Krystian,73,32,256
1311,Krystian,65,80,88
1312,Krystian,190,89,472
1313,Krystian,32,96,112
1314,Krystian,73,80,117
1315,Krystian,84,128,168
1316,Krystian,83,138,112
1317,Krystian,32,93,139
1318,Krystian,73,80,189
1319,Krystian,83,150,82
1320,Krystian,32,104,110
1321,Krystian,65,128,136
1322,Krystian,32,80,112
1323,Krystian,80,88,216
1324,Krystian,65,120,192
1325,Krystian,82,160,176
1326,Krystian,65,120,96
1327,Krystian,68,135,225
1328,Krystian,69,136,159
1329,Krystian,83,128,376
1330,Krystian,69,104,360
1331,Krystian,77,80,200
1332,Krystian,65,102,82
1333,Krystian,84,80,190
1334,Krystian,73,80,168
1335,Krystian,67,144,144
1336,Krystian,32,102,146
1337,Krystian,67,90,238
1338,Krystian,79,80,112
1339,Krystian,85,80,168
1340,Krystian,78,112,192
1341,Krystian,84,79,81
1342,Krystian,82,78,521
1343,Krystian,89,80,214
1344,Krystian,32,104,696
1345,Krystian,73,136,192
1346,Krystian,78,96,112
1347,Krystian,32,168,1379
1348,Krystian,87,88,448
1349,Krystian,72,136,112
1350,Krystian,73,95,80
1351,Krystian,67,88,160
1352,Krystian,72,112,103
1353,Krystian,32,120,488
1354,Krystian,82,96,248
1355,Krystian,79,88,111
1356,Krystian,65,120,161
1357,Krystian,83,96,352
1358,Krystian,84,135,216
1359,Krystian,69,112,104
1360,Krystian,68,137,367
1361,Krystian,32,103,138
1362,Krystian,80,88,191
1363,Krystian,65,127,112
1364,Krystian,82,103,80
1365,Krystian,84,121,199
1366,Krystian,83,130,96
1367,Krystian,32,85,132
1368,Krystian,79,104,141
1369,Krystian,70,135,105
1370,Krystian,32,119,87
1371,Krystian,83,80,231
1372,Krystian,69,63,193
1373,Krystian,78,96,95
1374,Krystian,84,128,112
1375,Krystian,69,70,130
1376,Krystian,78,87,160
1377,Krystian,67,121,143
1378,Krystian,69,87,185
1379,Krystian,83,151,191
1380,Krystian,32,79,112
1381,Krystian,70,87,184
1382,Krystian,76,56,111
1383,Krystian,89,87,369
1384,Krystian,32,88,192
1385,Krystian,73,72,431
1386,Krystian,78,120,152
1387,Krystian,84,87,121
1388,Krystian,79,88,104
1389,Krystian,32,96,103
1390,Krystian,89,79,441
1391,Krystian,79,111,120
1392,Krystian,85,128,71
1393,Krystian,82,135,105
1394,Krystian,32,104,103
1395,Krystian,77,103,169
1396,Krystian,79,87,216
1397,Krystian,85,63,216
1398,Krystian,84,96,280
1399,Krystian,72,94,97
1400,Krystian,190,95,311
1401,Krystian,32,88,200
1402,Krystian,69,111,183
1403,Krystian,86,128,271
1404,Krystian,69,105,105
1405,Krystian,78,89,159
1406,Krystian,32,94,90
1407,Krystian,84,95,303
1408,Krystian,72,112,127
1409,Krystian,69,119,121
1410,Krystian,32,128,88
1411,Krystian,65,85,130
1412,Krystian,76,56,109
1413,Krystian,76,72,136
1414,Krystian,189,79,377
1415,Krystian,80,136,231
1416,Krystian,79,103,97
1417,Krystian,87,152,63
1418,Krystian,69,104,80
1419,Krystian,82,88,192
1420,Krystian,70,89,216
1421,Krystian,85,86,90
1422,Krystian,76,63,231
1423,Krystian,76,79,144
1424,Krystian,32,87,552
1425,Krystian,80,80,112
1426,Krystian,79,87,224
1427,Krystian,73,79,216
1428,Krystian,78,96,175
1429,Krystian,84,104,161
1430,Krystian,73,71,105
1431,Krystian,78,105,166
1432,Krystian,71,142,106
1433,Krystian,32,95,119
1434,Krystian,72,112,191
1435,Krystian,65,120,136
1436,Krystian,83,175,97
1437,Krystian,32,95,120
1438,Krystian,78,127,168
1439,Krystian,79,111,88
1440,Krystian,32,110,113
1441,Krystian,67,88,142
1442,Krystian,79,63,89
1443,Krystian,78,104,143
1444,Krystian,84,72,72
1445,Krystian,82,96,184
1446,Krystian,79,72,80
1447,Krystian,76,96,185
1448,Krystian,32,101,98
1449,Krystian,65,94,167
1450,Krystian,66,48,110
1451,Krystian,79,88,168
1452,Krystian,85,104,248
1453,Krystian,84,111,265
1454,Krystian,32,87,177
1455,Krystian,84,80,255
1456,Krystian,72,128,103
1457,Krystian,69,127,130
1458,Krystian,32,95,71
1459,Krystian,66,87,208
1460,Krystian,76,54,89
1461,Krystian,73,64,167
1462,Krystian,78,96,159
1463,Krystian,68,103,193
1464,Krystian,32,80,287
1465,Krystian,84,120,192
1466,Krystian,69,120,80
1467,Krystian,88,143,273
1468,Krystian,84,128,111
1469,Krystian,83,135,865
1470,Krystian,32,112,96
1471,Krystian,73,96,215
1472,Krystian,84,145,200
1473,Krystian,32,77,148
1474,Krystian,73,96,380
1475,Krystian,83,126,98
1476,Krystian,32,104,86
1477,Krystian,65,80,200
1478,Krystian,78,104,120
1479,Krystian,32,96,480
1480,Krystian,65,64,224
1481,Krystian,76,88,144
1482,Krystian,77,136,184
1483,Krystian,79,128,104
1484,Krystian,83,144,256
1485,Krystian,84,143,145
1486,Krystian,32,96,119
1487,Krystian,85,80,480
1488,Krystian,78,97,192
1489,Krystian,79,88,624
1490,Krystian,82,104,120
1491,Krystian,84,104,544
1492,Krystian,79,94,578
1493,Krystian,72,128,246
1494,Krystian,71,63,706
1495,Krystian,82,136,206
1496,Krystian,65,96,96
1497,Krystian,80,80,120
1498,Krystian,73,95,185
1499,Krystian,67,112,247
1500,Krystian,32,96,344
1501,Krystian,76,104,248
1502,Krystian,79,80,197
